WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJP99P,118,150,1,3936.4,WSWP,81804.88903808594,1336.470430456102,103251.96252441406,81804.88903808594,24115.087017089125,2
BEGJP121,47,584,1,3528.36,WSWP,46682.66418457031,798.8824255320943,35919.63708496094,46682.66418457031,30801.26426026225,2
BEGJP998,111,97,2,3902.64,WSWP,56393.823486328125,1065.004639532417,107575.80078125,56393.823486328125,43075.856370892376,2
BEGJP115,48,593,15,3637.34,WSWP,48148.18249511719,341.3529105065391,11189.780121326448,48148.18249511719,7047.477642476559,2
BEGJP881,122,664,3,4014.95,WSWP,103466.3427734375,623.1542253494263,58874.70861816406,103466.3427734375,85791.67611724138,2
BEGJP581,120,433,16,3764.55,WSWP,34557.59045410156,608.4802383026108,49766.93493652344,34557.59045410156,30304.075355201963,2
BEGJP881,78,599,2,3827.23,WSWP,30169.205444335938,2237.093867577845,74561.17558860779,30169.205444335938,53975.843952938914,2
BEGJP515,97,442,3,3538.96,WSWP,32935.14813232422,219.9017833052203,745.2568734288216,32935.14813232422,19762.568614423275,2
BEGJP118,126,581,5,4065.67,WSWP,69307.56408691406,1728.3110036160795,105372.60986328124,69307.56408691406,57876.79030872883,2
BEGJP111,129,562,3,4041.41,WSWP,118120.2109375,1255.5012250700963,86975.04975748062,118120.2109375,44609.76344261345,2
BEGJP118,114,526,2,3799.6,WSWP,26972.123474121094,69.10112219338771,19177.74500083924,26972.123474121094,24867.846409461934,2
BEGJP112,85,587,1,3774.62,WSWP,21282.13806152344,717.0846291617488,15716.161690801382,21282.13806152344,4717.186596262865,2
BEGJP982,117,203,3,3916.93,WSWP,109258.83056640624,9.372081075212918,640.49951171875,109258.83056640624,100229.95628845693,2
BEGJP112,136,622,1,4113.03,WSWP,77676.1552734375,547.7350064516069,11867.962310791016,77676.1552734375,5802.534772872925,2
BEGJP92P,119,167,4,3905.89,WSWP,97651.98767089844,568.9009354934096,64317.99398422241,97651.98767089844,79526.40504525602,2
BEGJP119,134,546,11,4060.74,WSWP,81252.57067871094,1388.5401825755835,120498.01538467409,81252.57067871094,45104.188721490085,2
BEGJP182,99,511,19,3638.91,WSWP,42109.84716796875,122.42751878499985,924.1196899414062,42109.84716796875,2468.823603823781,2
BEGJP12P,95,597,3,3863.63,WSWP,18782.558166503903,0.007168964948505162,0.0380859375,18782.558166503903,143.10687771439552,0
BEGJP11P,68,587,26,3670.13,WSWP,40819.35339355469,582.5303824967705,10213.234898716211,40819.35339355469,3031.7927053628955,2
BEGJP882,117,397,4,3721.99,WSWP,52040.42205810547,1067.0252558561042,42996.892448425286,52040.42205810547,47146.37813863903,2
BEGJP839,92,632,7,3976.37,WSWP,26621.37091064453,598.6484355926514,22475.460533618927,26621.37091064453,14098.28819152154,2
BEGJP838,96,651,2,3956.01,WSWP,46675.42022705078,1422.8607755806295,53484.486806511886,46675.42022705078,26843.651738852266,2
BEGJP995,127,70,3,3868.88,WSWP,46277.07495117188,143.94147627055642,3272.5663051605225,46277.07495117188,19641.694590508934,2
BEGJP883,57,590,4,3584.39,WSWP,86611.47888183594,386.85254853055807,43661.77916431427,86611.47888183594,75634.50921260567,2
BEGJP882,77,592,1,3769.92,WSWP,53970.87219238281,1077.8762269979345,58644.8793888092,53970.87219238281,48955.96980035305,2
BEGJP85P,113,625,3,3960.98,WSWP,31839.31463623047,319.44383039744565,9284.325754404068,31839.31463623047,60834.228260765325,2
BEGJP859,107,667,7,3940.62,WSWP,65126.09521484375,525.3716726303102,16906.02076530456,65126.09521484375,246929.83907935023,1
BEGJP511,104,467,10,3625.37,WSWP,26763.549560546875,352.26603398332367,1088.1451978683474,26763.549560546875,11192.759752349462,2
BEGJP111,115,555,1,3869.14,WSWP,24132.469116210938,0.0,0.0,24132.469116210938,0.0,0
BEGJP513,54,392,5,3323.55,WSWP,35817.187438964844,512.8852235078812,15861.998634338379,35817.187438964844,44232.773092594005,2
BEGJP512,46,426,3,3239.49,WSWP,42031.38806152344,304.3291869866662,930.1614740490912,42031.38806152344,12874.182121492922,2
BEGJP18P,110,614,5,3942.19,WSWP,21065.79052734375,192.68338105268776,5543.814984560014,21065.79052734375,2629.2501402199273,2
BEGJP951,111,118,36,3933.12,WSWP,33785.58526611328,669.8058206439017,8672.954963684082,33785.58526611328,19269.323000824086,2
BEGJP91P,112,233,4,3814.32,WSWP,79049.84289550781,432.1884241551162,30711.3598613739,79049.84289550781,76504.59813733933,2
BEGJP9P2,120,102,1,3834.76,WSWP,50750.05364990234,223.20907059591264,19790.53348922729,50750.05364990234,59899.962397977724,2
BEGJP83P,129,637,9,4059.83,WSWP,66105.46337890625,1415.4527044296265,82582.23486328125,66105.46337890625,9233.506865212694,2
BEGJP888,119,641,3,3991.93,WSWP,107254.19354248047,1182.6321420669556,78323.15844249724,107254.19354248047,123863.37204699215,2
BEGJP889,94,609,5,3899.61,WSWP,23967.947204589844,210.4372838581912,964.2225128412248,23967.947204589844,33087.445112288,2
